Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
42,0.420000,42,8.072266,-4.134766,-26.812500,1.532288,-0.720856,-3.750366,-0.026885,-0.057148,0.000000,-4.322845
43,0.430000,43,7.554932,-4.298340,-27.061523,1.582764,-0.640656,-4.204346,-0.023674,-0.058488,0.000000,-4.747974
44,0.440000,44,8.043945,-3.857910,-26.687500,1.548523,-0.696594,-3.683228,-0.026102,-0.058024,0.000000,-4.250670
45,0.450000,45,8.193848,-3.856201,-26.175781,1.548035,-0.691406,-3.767090,-0.026414,-0.059140,0.000000,-4.353531
46,0.460000,46,8.310547,-4.777832,-26.803711,1.501709,-0.764008,-4.069824,-0.028504,-0.056026,0.000000,-4.671619
47,0.470000,47,8.220215,-4.625488,-26.804688,1.590454,-0.718201,-3.952026,-0.026794,-0.059335,0.000000,-4.563707
48,0.480000,48,7.580811,-4.791748,-26.925781,1.571594,-0.713043,-4.305176,-0.026482,-0.058368,0.000000,-4.874544
49,0.490000,49,7.343750,-3.840576,-26.554688,1.617371,-0.668152,-3.733521,-0.025161,-0.060907,0.000000,-4.277442
50,0.500000,50,7.642334,-4.329346,-26.164062,1.559570,-0.708405,-3.935181,-0.027075,-0.059607,0.000000,-4.507939
51,0.510000,51,7.395752,-4.980713,-26.666016,1.529724,-0.718353,-3.481445,-0.026939,-0.057366,0.000000,-4.039886
52,0.520000,52,8.189941,-4.564697,-26.677734,1.519531,-0.694702,-4.069824,-0.026041,-0.056959,0.000000,-4.655180
53,0.530000,53,7.797607,-4.109619,-26.553711,1.531494,-0.751923,-4.187500,-0.028317,-0.057675,0.000000,-4.753602
54,0.540000,54,7.580566,-4.760986,-26.797852,1.593811,-0.640930,-3.918457,-0.023917,-0.059475,0.000000,-4.483183
55,0.550000,55,7.521729,-4.699707,-27.183594,1.615784,-0.714905,-4.036377,-0.026299,-0.059440,0.000000,-4.607064
56,0.560000,56,7.280762,-4.365234,-27.058594,1.538269,-0.720367,-4.086670,-0.026623,-0.056850,0.000000,-4.616791
57,0.570000,57,7.494141,-4.115234,-26.679688,1.554871,-0.664978,-3.666260,-0.024925,-0.058279,0.000000,-4.205583
58,0.580000,58,7.343018,-4.056152,-26.807617,1.669067,-0.717163,-3.615967,-0.026752,-0.062261,0.000000,-4.181661
59,0.590000,59,7.419434,-5.597656,-26.398438,1.590820,-0.719208,-3.414185,-0.027244,-0.060262,0.000000,-4.013798
60,0.600000,60,8.430176,-5.053223,-26.927734,1.485474,-0.618225,-3.582397,-0.022959,-0.055165,0.000000,-4.163465
61,0.610000,61,8.797363,-4.614990,-26.552734,1.589844,-0.749359,-3.397339,-0.028222,-0.059875,0.000000,-4.054323
62,0.620000,62,8.219727,-4.748535,-26.931641,1.662842,-0.694916,-3.851318,-0.025803,-0.061743,0.000000,-4.481356
63,0.630000,63,6.826660,-4.280273,-27.442383,1.559631,-0.661804,-3.431152,-0.024116,-0.056833,0.000000,-3.922355
64,0.640000,64,7.617188,-4.020020,-26.809570,1.483276,-0.733276,-3.867920,-0.027351,-0.055326,0.000000,-4.399304
65,0.650000,65,7.885254,-4.632080,-26.673828,1.521240,-0.751373,-3.565552,-0.028169,-0.057031,0.000000,-4.145738
66,0.660000,66,7.281250,-4.119141,-26.678711,1.554993,-0.694946,-3.784058,-0.026049,-0.058286,0.000000,-4.315750
67,0.670000,67,6.978027,-4.370117,-27.442383,1.515625,-0.825317,-4.103271,-0.030075,-0.055229,0.000000,-4.620092
68,0.680000,68,7.032959,-4.833008,-26.921875,1.618835,-0.776459,-3.800903,-0.028841,-0.060131,0.000000,-4.363191
69,0.690000,69,7.248291,-4.673828,-27.182617,1.476624,-0.674652,-4.288330,-0.024819,-0.054322,0.000000,-4.798075
70,0.700000,70,7.220703,-3.935913,-26.424805,1.550354,-0.767334,-4.305176,-0.029038,-0.058670,0.000000,-4.843110
71,0.710000,71,7.491943,-4.423340,-26.803711,1.539429,-0.761993,-4.389160,-0.028429,-0.057433,0.000000,-4.945198
72,0.720000,72,6.912354,-4.619629,-26.795898,1.590454,-0.707153,-3.498169,-0.026390,-0.059354,0.000000,-4.030361
73,0.730000,73,8.376953,-3.913818,-26.431641,1.595764,-0.639099,-3.952026,-0.024179,-0.060373,0.000000,-4.552404
74,0.740000,74,8.011719,-4.135986,-26.811523,1.578491,-0.722565,-4.103271,-0.026950,-0.058874,0.000000,-4.686414
75,0.750000,75,7.798828,-4.047607,-26.682617,1.553162,-0.704071,-3.699951,-0.026387,-0.058209,0.000000,-4.260715
76,0.760000,76,8.004395,-5.061035,-26.924805,1.624268,-0.654083,-3.884888,-0.024293,-0.060326,0.000000,-4.490709
77,0.770000,77,7.670410,-5.036377,-27.050781,1.600708,-0.687592,-4.052979,-0.025419,-0.059174,0.000000,-4.634886
78,0.780000,78,7.430420,-4.701172,-27.183594,1.569641,-0.669617,-4.338867,-0.024633,-0.057742,0.000000,-4.883721
79,0.790000,79,6.757812,-5.084473,-27.172852,1.579041,-0.689697,-4.002441,-0.025382,-0.058111,0.000000,-4.524198
80,0.800000,80,7.492920,-4.330811,-26.804688,1.583374,-0.761658,-3.683228,-0.028415,-0.059071,0.000000,-4.248901
81,0.810000,81,7.089844,-5.202148,-26.787109,1.604675,-0.656128,-3.867920,-0.024494,-0.059905,0.000000,-4.420058
82,0.820000,82,7.854736,-4.816895,-27.055664,1.595398,-0.729553,-3.868164,-0.026965,-0.058967,0.000000,-4.461223
83,0.830000,83,7.299805,-5.691162,-27.038086,1.662964,-0.724030,-3.649658,-0.026778,-0.061504,0.000000,-4.251028
84,0.840000,84,7.270508,-5.507080,-26.912109,1.589111,-0.724060,-3.952271,-0.026905,-0.059048,0.000000,-4.529747
85,0.850000,85,7.279053,-4.550293,-27.056641,1.681335,-0.792725,-4.069824,-0.029299,-0.062141,0.000000,-4.655472
86,0.860000,86,8.611328,-5.265137,-27.054688,1.559998,-0.709717,-4.187500,-0.026233,-0.057661,0.000000,-4.822155
87,0.870000,87,9.095703,-5.257080,-26.543945,1.605469,-0.647247,-3.901733,-0.024384,-0.060483,0.000000,-4.580061
88,0.880000,88,8.367676,-5.085693,-26.669922,1.624573,-0.691345,-3.935181,-0.025922,-0.060914,0.000000,-4.576722
89,0.890000,89,7.884277,-4.970215,-27.182617,1.622375,-0.801300,-4.238037,-0.029478,-0.059684,0.000000,-4.855119
90,0.900000,90,8.609375,-5.266602,-26.541016,1.559509,-0.684906,-4.052734,-0.025806,-0.058758,0.000000,-4.694516
91,0.910000,91,8.276855,-4.995117,-26.542969,1.552979,-0.717346,-3.952026,-0.027026,-0.058508,0.000000,-4.571287
92,0.920000,92,8.211914,-5.888916,-27.425781,1.598694,-0.699707,-4.086670,-0.025513,-0.058292,0.000000,-4.715598
93,0.930000,93,8.331543,-5.857422,-26.786133,1.620483,-0.647186,-4.170654,-0.024161,-0.060497,0.000000,-4.816211
94,0.940000,94,8.001953,-5.154785,-26.538086,1.649353,-0.725555,-3.666260,-0.027340,-0.062150,0.000000,-4.304517
95,0.950000,95,8.670898,-5.111328,-26.415039,1.532532,-0.682465,-3.918457,-0.025836,-0.058017,0.000000,-4.553577
96,0.960000,96,8.154785,-5.089844,-26.668945,1.578552,-0.649475,-3.851196,-0.024353,-0.059191,0.000000,-4.457838
97,0.970000,97,8.155273,-5.181641,-26.923828,1.673401,-0.698090,-3.884888,-0.025928,-0.062153,0.000000,-4.526115
98,0.980000,98,8.547852,-5.513672,-26.920898,1.589050,-0.688110,-4.238037,-0.025560,-0.059027,0.000000,-4.883520
99,0.990000,99,8.122559,-5.214355,-26.409180,1.627563,-0.698242,-3.935181,-0.026439,-0.061629,0.000000,-4.573627
100,1.000000,100,7.663574,-5.777344,-26.911133,1.687988,-0.665985,-3.901733,-0.024748,-0.062725,0.000000,-4.525403
101,1.010000,101,8.274902,-5.303467,-26.666016,1.583740,-0.694672,-3.851196,-0.026051,-0.059392,0.000000,-4.480817
102,1.020000,102,8.213379,-5.550537,-27.046875,1.705566,-0.650055,-3.985718,-0.024034,-0.063060,0.000000,-4.637054
103,1.030000,103,7.182617,-5.230469,-27.172852,1.628784,-0.797852,-4.238037,-0.029362,-0.059942,0.000000,-4.822152
104,1.040000,104,7.972900,-5.246338,-27.049805,1.605774,-0.727600,-4.187500,-0.026899,-0.059364,0.000000,-4.801919
